path,size,strings,cluster_label,umap_x,umap_y
extracted\wave_0\424d_0_1385.bin,512,1,1,20.33275,3.666915
extracted\wave_0\424d_1536_1060.bin,0,1,0,-8.51038,-8.28224
extracted\wave_0\424d_2048_3397.bin,0,1,0,-7.8233504,-8.120737
extracted\wave_0\424d_2688_8214.bin,0,1,0,-8.2764225,-8.176679
extracted\wave_0\424d_4096_3335.bin,0,1,0,-8.072495,-8.221752
extracted\wave_0\424d_6144_9558.bin,0,1,0,-8.37601,-7.8644466
extracted\wave_0\424d_6784_389.bin,0,1,0,-8.206343,-7.8809795
extracted\wave_0\424d_6784_5525.bin,0,1,0,-8.299906,-8.105588
extracted\wave_0\424d_6912_8512.bin,0,1,0,-8.08359,-8.019138
extracted\wave_0\424d_7296_444.bin,0,1,0,-8.286257,-7.9544168
extracted\wave_0\424d_768_9619.bin,256,1,1,20.347517,3.691556
extracted\wave_0\494433_7552_468.bin,0,1,0,-8.356153,-8.197085
extracted\wave_0\w0_p0_0_identity.bin,128,1,1,20.00972,4.1415524
extracted\wave_0\w0_p0_0_invert.bin,128,1,1,19.45621,4.6933994
extracted\wave_0\w0_p0_0_xor.bin,128,1,1,19.572273,4.465372
extracted\wave_0\w0_p1_8_identity.bin,128,1,1,19.677258,3.982436
extracted\wave_0\w0_p1_8_invert.bin,128,1,1,19.843544,3.9317975
extracted\wave_0\w0_p1_8_xor.bin,128,1,1,19.180124,4.5377016
extracted\wave_0\w0_p2_16_identity.bin,128,1,1,19.660583,3.694519
extracted\wave_0\w0_p2_16_invert.bin,128,1,1,18.79486,4.455758
extracted\wave_0\w0_p2_16_xor.bin,128,1,1,19.303593,4.726617
extracted\wave_0\w0_p3_24_identity.bin,128,1,1,19.739294,4.0967207
extracted\wave_0\w0_p3_24_invert.bin,128,1,1,19.295938,4.389268
extracted\wave_0\w0_p3_24_xor.bin,128,1,1,20.132093,4.2709637
extracted\wave_0\w0_p4_32_identity.bin,128,1,1,19.445126,4.218958
extracted\wave_0\w0_p4_32_invert.bin,128,1,1,19.042294,4.364407
extracted\wave_0\w0_p4_32_xor.bin,128,1,1,19.277763,4.1572547
extracted\wave_0\w0_p5_40_identity.bin,128,1,1,19.00966,3.6400995
extracted\wave_0\w0_p5_40_invert.bin,128,1,1,19.006062,3.9240146
extracted\wave_0\w0_p5_40_xor.bin,128,1,1,20.017115,4.470075
extracted\wave_0\w0_p6_48_identity.bin,128,1,1,19.276794,4.304151
extracted\wave_0\w0_p6_48_invert.bin,128,1,1,19.399437,4.958818
extracted\wave_0\w0_p6_48_xor.bin,128,1,1,19.605045,3.7578907
extracted\wave_0\w0_p7_56_identity.bin,128,1,1,19.73885,4.459117
extracted\wave_0\w0_p7_56_invert.bin,128,1,1,19.4283,4.5492263
extracted\wave_0\w0_p7_56_xor.bin,128,1,1,19.703833,4.5574293
extracted\wave_0\w0_p8_64_identity.bin,128,1,1,19.70954,3.7909176
extracted\wave_0\w0_p8_64_invert.bin,128,1,1,19.674591,3.8531096
extracted\wave_0\w0_p8_64_xor.bin,128,1,1,19.177828,3.7476828
extracted\wave_0\w0_p9_72_identity.bin,128,1,1,19.159258,4.4135704
extracted\wave_0\w0_p9_72_invert.bin,128,1,1,19.417345,3.8210661
extracted\wave_0\w0_p9_72_xor.bin,128,1,1,19.531294,3.7224827
extracted\wave_1\424d_1664_6804.bin,0,1,0,-8.366841,-7.7671585
extracted\wave_1\424d_4608_5244.bin,0,1,0,-8.66748,-7.585509
extracted\wave_1\424d_4864_1944.bin,0,1,0,-7.998192,-7.5924177
extracted\wave_1\424d_6016_8247.bin,0,1,0,-7.7105336,-8.547718
extracted\wave_1\424d_6656_3331.bin,0,1,0,-7.511469,-8.227404
extracted\wave_1\424d_7040_1036.bin,0,1,0,-8.038932,-8.7177725
extracted\wave_1\424d_7040_2659.bin,0,1,0,-8.538347,-8.749228
extracted\wave_1\424d_7040_3904.bin,0,1,0,-7.6458282,-8.483835
extracted\wave_1\424d_7040_5303.bin,0,1,0,-8.68641,-8.496399
extracted\wave_1\424d_7040_5917.bin,0,1,0,-7.370929,-7.8751645
extracted\wave_1\424d_7040_5998.bin,0,1,0,-7.734224,-8.589338
extracted\wave_1\424d_7040_6464.bin,0,1,0,-7.603659,-7.794871
extracted\wave_1\424d_7040_7567.bin,0,1,0,-8.233152,-8.462665
extracted\wave_1\424d_8064_6106.bin,0,1,0,-8.5295,-8.179455
extracted\wave_1\w1_p0_128_identity.bin,128,1,1,19.604979,4.4086432
extracted\wave_1\w1_p0_128_invert.bin,128,1,1,19.242777,4.748675
extracted\wave_1\w1_p0_128_xor.bin,128,1,1,19.575308,4.136505
extracted\wave_1\w1_p1_136_identity.bin,128,1,1,18.993835,4.532546
extracted\wave_1\w1_p1_136_invert.bin,128,1,1,20.419018,4.359061
extracted\wave_1\w1_p1_136_xor.bin,128,1,1,20.244566,3.6258602
extracted\wave_1\w1_p2_144_identity.bin,128,1,1,20.127981,4.775989
extracted\wave_1\w1_p2_144_invert.bin,128,1,1,20.008842,4.6592584
extracted\wave_1\w1_p2_144_xor.bin,128,1,1,19.759153,4.709154
extracted\wave_1\w1_p3_152_identity.bin,128,1,1,20.19059,4.021606
extracted\wave_1\w1_p3_152_invert.bin,128,1,1,20.013948,4.848497
extracted\wave_1\w1_p3_152_xor.bin,128,1,1,20.528229,3.9238656
extracted\wave_1\w1_p4_160_identity.bin,128,1,1,19.5276,4.873903
extracted\wave_1\w1_p4_160_invert.bin,128,1,1,19.183207,4.079425
extracted\wave_1\w1_p4_160_xor.bin,128,1,1,20.165077,3.9040701
extracted\wave_1\w1_p5_168_identity.bin,128,1,1,19.25692,4.130163
extracted\wave_1\w1_p5_168_invert.bin,128,1,1,19.751759,3.4867287
extracted\wave_1\w1_p5_168_xor.bin,128,1,1,20.041164,3.8342552
extracted\wave_1\w1_p6_176_identity.bin,128,1,1,19.852196,3.7504504
extracted\wave_1\w1_p6_176_invert.bin,128,1,1,19.782646,4.6521506
extracted\wave_1\w1_p6_176_xor.bin,128,1,1,19.320955,3.4128053
extracted\wave_1\w1_p7_184_identity.bin,128,1,1,19.858742,4.2561536
extracted\wave_1\w1_p7_184_invert.bin,128,1,1,19.406178,3.4197717
extracted\wave_1\w1_p7_184_xor.bin,128,1,1,18.914625,3.487353
extracted\wave_1\w1_p8_192_identity.bin,128,1,1,19.0294,3.986565
extracted\wave_1\w1_p8_192_invert.bin,128,1,1,19.255781,3.4962714
extracted\wave_1\w1_p8_192_xor.bin,128,1,1,18.809074,3.6124072
extracted\wave_1\w1_p9_200_identity.bin,128,1,1,18.489008,4.7030277
extracted\wave_1\w1_p9_200_invert.bin,128,1,1,19.27518,3.637085
extracted\wave_1\w1_p9_200_xor.bin,128,1,1,19.150534,3.889616
extracted\wave_2\424d_2560_2487.bin,0,1,0,-7.8716073,-8.16273
extracted\wave_2\424d_2688_3352.bin,0,1,0,-8.121474,-8.580305
extracted\wave_2\424d_2688_6230.bin,0,1,0,-7.9563146,-7.6265984
extracted\wave_2\424d_4864_9170.bin,0,1,0,-8.040328,-7.854722
extracted\wave_2\424d_5120_2243.bin,0,1,0,-7.7648306,-7.920073
extracted\wave_2\424d_5376_9323.bin,0,1,0,-8.085862,-7.733475
extracted\wave_2\424d_5632_5233.bin,0,1,0,-7.8712115,-8.06263
extracted\wave_2\424d_5888_83.bin,0,1,0,-8.104683,-8.378671
extracted\wave_2\424d_6144_1236.bin,0,1,0,-8.042863,-8.008039
extracted\wave_2\424d_6784_1054.bin,0,1,0,-7.8446164,-8.273212
extracted\wave_2\424d_7040_1831.bin,0,1,0,-7.9156704,-8.393171
extracted\wave_2\424d_7040_2231.bin,0,1,0,-8.744375,-8.448991
extracted\wave_2\424d_7040_3584.bin,0,1,0,-8.725296,-8.307203
extracted\wave_2\424d_7040_7706.bin,0,1,0,-7.8736835,-7.697317
extracted\wave_2\424d_7040_8017.bin,0,1,0,-8.295286,-8.335024
extracted\wave_2\424d_7040_8994.bin,0,1,0,-8.54219,-8.076063
extracted\wave_2\424d_7424_5429.bin,0,1,0,-8.399529,-8.731807
extracted\wave_2\424d_7424_8773.bin,0,1,0,-8.249873,-8.045004
extracted\wave_2\424d_768_2695.bin,0,1,0,-7.7451386,-7.4321733
extracted\wave_2\424d_768_5152.bin,0,1,0,-7.55169,-7.698219
extracted\wave_2\424d_7936_4813.bin,0,1,0,-8.522288,-7.8015494
extracted\wave_2\ffd8ff_2816_6579.bin,0,1,0,-7.669623,-7.490973
extracted\wave_2\ffd8ff_4224_7709.bin,0,1,0,-7.658483,-8.122713
extracted\wave_2\w2_p0_256_identity.bin,128,1,1,20.14279,4.409447
extracted\wave_2\w2_p0_256_invert.bin,128,1,1,20.090313,4.2308507
extracted\wave_2\w2_p0_256_xor.bin,128,1,1,19.851433,3.3239937
extracted\wave_2\w2_p1_264_identity.bin,128,1,1,19.318155,5.1722407
extracted\wave_2\w2_p1_264_invert.bin,128,1,1,18.936657,5.228954
extracted\wave_2\w2_p1_264_xor.bin,128,1,1,18.883444,3.5258856
extracted\wave_2\w2_p2_272_identity.bin,128,1,1,18.629257,4.084562
extracted\wave_2\w2_p2_272_invert.bin,128,1,1,20.315172,5.2497582
extracted\wave_2\w2_p2_272_xor.bin,128,1,1,18.506916,3.966809
extracted\wave_2\w2_p3_280_identity.bin,128,1,1,18.81227,4.253194
extracted\wave_2\w2_p3_280_invert.bin,128,1,1,18.743658,4.307958
extracted\wave_2\w2_p3_280_xor.bin,128,1,1,18.920116,4.9367504
extracted\wave_2\w2_p4_288_identity.bin,128,1,1,18.641075,4.6220684
extracted\wave_2\w2_p4_288_invert.bin,128,1,1,18.519035,4.436892
extracted\wave_2\w2_p4_288_xor.bin,128,1,1,18.942436,4.9801717
extracted\wave_2\w2_p5_296_identity.bin,128,1,1,18.825287,4.312592
extracted\wave_2\w2_p5_296_invert.bin,128,1,1,18.370792,4.0975804
extracted\wave_2\w2_p5_296_xor.bin,128,1,1,20.355742,4.862902
extracted\wave_2\w2_p6_304_identity.bin,128,1,1,19.528889,3.4931488
extracted\wave_2\w2_p6_304_invert.bin,128,1,1,19.215004,5.0163426
extracted\wave_2\w2_p6_304_xor.bin,128,1,1,19.83438,5.1598434
extracted\wave_2\w2_p7_312_identity.bin,128,1,1,19.730165,4.9946833
extracted\wave_2\w2_p7_312_invert.bin,128,1,1,19.068003,4.731229
extracted\wave_2\w2_p7_312_xor.bin,128,1,1,19.836937,4.930469
extracted\wave_2\w2_p8_320_identity.bin,128,1,1,20.378544,4.723358
extracted\wave_2\w2_p8_320_invert.bin,128,1,1,20.22905,4.5915785
extracted\wave_2\w2_p8_320_xor.bin,128,1,1,20.423285,4.1251645
extracted\wave_2\w2_p9_328_identity.bin,128,1,1,18.86192,4.6825666
extracted\wave_2\w2_p9_328_invert.bin,128,1,1,20.259413,4.152986
extracted\wave_2\w2_p9_328_xor.bin,128,1,1,19.497366,4.9517155
extracted\wave_3\424d_2816_4441.bin,0,1,0,-8.712566,-7.6978984
extracted\wave_3\424d_3840_4558.bin,0,1,0,-8.787163,-7.9126716
extracted\wave_3\424d_3840_544.bin,0,1,0,-8.332547,-7.618519
extracted\wave_3\424d_3840_5839.bin,0,1,0,-8.215681,-7.368573
extracted\wave_3\424d_4352_8835.bin,0,1,0,-8.189565,-7.4948926
extracted\wave_3\424d_4352_8852.bin,0,1,0,-8.435371,-7.540597
extracted\wave_3\424d_4608_7280.bin,0,1,0,-8.878594,-8.03723
extracted\wave_3\424d_6144_2240.bin,0,1,0,-7.958553,-7.6549973
extracted\wave_3\424d_6144_3008.bin,0,1,0,-8.578805,-8.484418
extracted\wave_3\424d_6144_7053.bin,0,1,0,-8.759043,-8.3614025
extracted\wave_3\424d_6144_9996.bin,0,1,0,-8.258526,-8.5083885
extracted\wave_3\424d_7168_142.bin,0,1,0,-8.341582,-8.675337
extracted\wave_3\424d_7168_8642.bin,0,1,0,-8.294183,-7.42871
extracted\wave_3\424d_7296_4975.bin,0,1,0,-7.8466144,-8.774196
extracted\wave_3\424d_768_4564.bin,256,1,1,20.58521,3.515083
extracted\wave_3\425a68_2560_3274.bin,0,1,0,-8.295683,-8.8460655
extracted\wave_3\425a68_2560_3873.bin,0,1,0,-8.835279,-7.7251635
extracted\wave_3\425a68_6144_839.bin,0,1,0,-7.576372,-8.506837
extracted\wave_3\494433_2816_1076.bin,0,1,0,-7.8848352,-7.4191055
extracted\wave_3\ffd8ff_2048_915.bin,0,1,0,-7.3757396,-8.133638
extracted\wave_3\w3_p0_384_identity.bin,128,1,1,20.206028,4.8089256
extracted\wave_3\w3_p0_384_invert.bin,128,1,1,19.497902,4.1447663
extracted\wave_3\w3_p0_384_xor.bin,128,1,1,18.65048,3.6565382
extracted\wave_3\w3_p1_392_identity.bin,128,1,1,19.085274,5.523113
extracted\wave_3\w3_p1_392_invert.bin,128,1,1,20.086134,3.4271166
extracted\wave_3\w3_p1_392_xor.bin,128,1,1,18.909283,4.9638486
extracted\wave_3\w3_p2_400_identity.bin,128,1,1,19.511868,3.3560157
extracted\wave_3\w3_p2_400_invert.bin,128,1,1,20.342588,4.983972
extracted\wave_3\w3_p2_400_xor.bin,128,1,1,20.173723,3.6766088
extracted\wave_3\w3_p3_408_identity.bin,128,1,1,19.060888,3.109493
extracted\wave_3\w3_p3_408_invert.bin,128,1,1,20.245068,5.3257165
extracted\wave_3\w3_p3_408_xor.bin,128,1,1,18.584349,5.0935054
extracted\wave_3\w3_p4_416_identity.bin,128,1,1,18.730068,5.2428126
extracted\wave_3\w3_p4_416_invert.bin,128,1,1,20.8139,3.5650313
extracted\wave_3\w3_p4_416_xor.bin,128,1,1,18.483084,3.8538551
extracted\wave_3\w3_p5_424_identity.bin,128,1,1,18.549847,3.5125115
extracted\wave_3\w3_p5_424_invert.bin,128,1,1,20.49093,4.976723
extracted\wave_3\w3_p5_424_xor.bin,128,1,1,19.907202,3.0765505
extracted\wave_3\w3_p6_432_identity.bin,128,1,1,19.801636,5.1069036
extracted\wave_3\w3_p6_432_invert.bin,128,1,1,18.42657,4.614068
extracted\wave_3\w3_p6_432_xor.bin,128,1,1,20.815996,4.709477
extracted\wave_3\w3_p7_440_identity.bin,128,1,1,18.922379,3.2191443
extracted\wave_3\w3_p7_440_invert.bin,128,1,1,19.792482,5.568295
extracted\wave_3\w3_p7_440_xor.bin,128,1,1,20.93708,4.0445633
extracted\wave_3\w3_p8_448_identity.bin,128,1,1,19.394886,5.3504972
extracted\wave_3\w3_p8_448_invert.bin,128,1,1,20.115541,5.1532745
extracted\wave_3\w3_p8_448_xor.bin,128,1,1,20.561756,4.8943543
extracted\wave_3\w3_p9_456_identity.bin,128,1,1,19.882757,5.4371037
extracted\wave_3\w3_p9_456_invert.bin,128,1,1,19.656145,5.3043685
extracted\wave_3\w3_p9_456_xor.bin,128,1,1,19.390383,5.351705
extracted\wave_4\w4_p0_512_identity.bin,128,1,1,19.833708,2.9109573
extracted\wave_4\w4_p0_512_invert.bin,128,1,1,20.693956,3.661678
extracted\wave_4\w4_p0_512_xor.bin,128,1,1,20.461473,4.6975493
extracted\wave_4\w4_p1_520_identity.bin,128,1,1,20.581451,4.57268
extracted\wave_4\w4_p1_520_invert.bin,128,1,1,20.667913,4.9032235
extracted\wave_4\w4_p1_520_xor.bin,128,1,1,19.34087,5.4853935
extracted\wave_4\w4_p2_528_identity.bin,128,1,1,19.700695,2.8426535
extracted\wave_4\w4_p2_528_invert.bin,128,1,1,20.786993,4.1762586
extracted\wave_4\w4_p2_528_xor.bin,128,1,1,19.369225,2.778529
extracted\wave_4\w4_p3_536_identity.bin,128,1,1,20.684668,4.433688
extracted\wave_4\w4_p3_536_invert.bin,128,1,1,20.363216,3.1302729
extracted\wave_4\w4_p3_536_xor.bin,128,1,1,18.455465,3.5986748
extracted\wave_4\w4_p4_544_identity.bin,128,1,1,20.602983,4.0370035
extracted\wave_4\w4_p4_544_invert.bin,128,1,1,18.163023,4.413526
extracted\wave_4\w4_p4_544_xor.bin,128,1,1,18.551603,3.1616454
extracted\wave_4\w4_p5_552_identity.bin,128,1,1,20.30484,3.2795126
extracted\wave_4\w4_p5_552_invert.bin,128,1,1,17.93736,3.4554224
extracted\wave_4\w4_p5_552_xor.bin,128,1,1,19.234207,2.842292
extracted\wave_4\w4_p6_560_identity.bin,128,1,1,18.267248,3.265264
extracted\wave_4\w4_p6_560_invert.bin,128,1,1,19.011562,5.547732
extracted\wave_4\w4_p6_560_xor.bin,128,1,1,18.416077,5.4074283
extracted\wave_4\w4_p7_568_identity.bin,128,1,1,17.825113,4.1509385
extracted\wave_4\w4_p7_568_invert.bin,128,1,1,18.043959,3.710069
extracted\wave_4\w4_p7_568_xor.bin,128,1,1,20.542526,5.461997
extracted\wave_4\w4_p8_576_identity.bin,128,1,1,18.228102,4.83587
extracted\wave_4\w4_p8_576_invert.bin,128,1,1,18.475044,5.2115965
extracted\wave_4\w4_p8_576_xor.bin,128,1,1,18.683235,2.9794395
extracted\wave_4\w4_p9_584_identity.bin,128,1,1,19.629047,3.0135703
extracted\wave_4\w4_p9_584_invert.bin,128,1,1,19.111694,5.7904162
extracted\wave_4\w4_p9_584_xor.bin,128,1,1,18.087074,4.1196613
